Control ID,        Control Description
"CC 1.1, CC 1.4",The company performs background checks on new employees.
CC 1.1,The company requires contractor agreements to include a code of conduct or reference to the company code of conduct.
"CC 1.1, CC 1.5",The company requires employees to acknowledge a code of conduct at the time of hire. Employees who violate the code of conduct are subject to disciplinary actions in accordance with a disciplinary policy.
CC 1.1,The company requires contractors to sign a confidentiality agreement at the time of engagement.
CC 1.1,The company requires employees to sign a confidentiality agreement during onboarding.
"CC 1.1, CC 1.4, CC 1.5",The company managers are required to complete performance evaluations for direct reports at least annually.
"CC 1.2, CC 1.3",The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.
CC 1.2,The company's board of directors or a relevant subcommittee is briefed by senior management at least annually on the state of the company's cybersecurity and privacy risk. The board provides feedback and direction to management as needed.
"CC 1.3, CC 2.2",The company management has established defined roles and responsibilities to oversee the design and implementation of information security controls.
"CC 1.4, CC 2.2",The company requires employees to complete security awareness training within thirty days of hire and at least annually thereafter.
"CC 2.1, CC 7.2",The company utilizes a log management tool to identify events that may have a potential impact on the company's ability to achieve its security objectives.
"CC 2.1, CC 4.1, CC 7.1, CC 7.2, CC 7.4, CC 8.1",Host-based vulnerability scans are performed at least quarterly on all external-facing systems. Critical and high vulnerabilities are tracked to remediation.
"CC 2.1, CC 4.1, CC 4.2","The company performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings. If the company has committed to an SLA for a finding, the corrective action is completed within that SLA."
"CC 2.2, CC 5.1, CC 5.2, CC 5.3",The company's information security policies and procedures are documented and reviewed at least annually.
CC 2.3,"The company has an external-facing support system in place that allows users to report system information on failures, incidents, concerns, and other complaints to appropriate personnel."
CC 2.3,The company notifies customers of critical system changes that may affect their processing.
"CC 2.3, CC 9.2",The company has written agreements in place with vendors and related third-parties. These agreements include confidentiality and privacy commitments applicable to that entity.
"CC 3.1, CC 3.2, CC 3.3, CC 3.4, CC 5.1, CC 5.3, CC 9.1","The company has a documented risk management program in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks."
"CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2","The company has a vendor management program in place. Components of this program include:
- critical third-party vendor inventory;
- vendor's security and privacy requirements; and
- review of critical third-party vendors at least annually."
"CC 3.2, CC 7.5",The company has a documented business continuity/disaster recovery (BC/DR) plan and tests it at least annually.
"CC 3.2, CC 3.3, CC 3.4, CC 7.1, CC 9.1","The company's risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives."
"CC 5.2, CC 5.3, CC 6.8, CC 8.1","The company has a formal systems development life cycle (SDLC) methodology in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information systems and related technology requirements."
"CC 5.2, CC 6.1, CC 6.2, CC 6.3","The company's access control policy documents the requirements for the following access control functions: 
- adding new users;
- modifying users; and/or 
- removing an existing user's access."
CC 5.3,The company's data backup policy documents requirements for backup and recovery of customer data.
"CC 5.3, CC 7.1, CC 8.1","The company requires changes to software and infrastructure components of the service to be authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment."
"CC 5.3, CC 6.5",The company has formal retention and disposal procedures in place to guide the secure retention and disposal of company and customer data.
CC 6.1,The company's network is segmented to prevent unauthorized access to customer data.
"CC 6.1, CC 6.6",The company's production systems can only be remotely accessed by authorized employees via an approved encrypted connection.
CC 6.1,The company's datastores housing sensitive customer data are encrypted at rest.
"CC 6.1, CC 6.6",The company's production systems can only be remotely accessed by authorized employees possessing a valid multi-factor authentication (MFA) method.
CC 6.1,The company requires passwords for in-scope system components to be configured according to the company's policy.
CC 6.1,The company has a data classification policy in place to help ensure that confidential data is properly secured and restricted to authorized personnel.
"CC 6.2, CC 6.3, CC 6.5",The company completes termination checklists to ensure that access is revoked for terminated employees within SLAs.
"CC 6.2, CC 6.3, CC 6.4",The company conducts access reviews at least quarterly for the in-scope system components to help ensure that access is restricted appropriately. Required changes are tracked to completion.
CC 6.5,"The company purges or removes customer data containing confidential information from the application environment, in accordance with best practices, when customers leave the service."
